gender,ages,category,rank,keyword,crawled_at
남성,"20대, 30대",과자/베이커리,6,할로윈사탕,2025-10-26 17:59:59
남성,"20대, 30대",과자/베이커리,7,화과자,2025-10-26 17:59:59
남성,"20대, 30대",과자/베이커리,8,약과,2025-10-26 17:59:59
남성,"20대, 30대",과자/베이커리,9,한과,2025-10-26 17:59:59
남성,"20대, 30대",과자/베이커리,10,두바이초콜릿,2025-10-26 17:59:59
남성,"30대, 40대",농산물,1,쌀20kg,2025-10-26 18:00:16
남성,"30대, 40대",농산물,2,쌀10kg,2025-10-26 18:00:16
남성,"30대, 40대",농산물,3,사과,2025-10-26 18:00:16
남성,"30대, 40대",농산물,4,고구마,2025-10-26 18:00:16
남성,"30대, 40대",농산물,5,송이버섯,2025-10-26 18:00:16
남성,"30대, 40대",농산물,6,능이버섯,2025-10-26 18:00:16
남성,"30대, 40대",농산물,7,귤,2025-10-26 18:00:16
남성,"30대, 40대",농산물,8,쌀,2025-10-26 18:00:16
남성,"30대, 40대",농산물,9,샤인머스켓,2025-10-26 18:00:16
남성,"30대, 40대",농산물,10,밤,2025-10-26 18:00:16
남성,"30대, 40대",음료,1,레몬즙,2025-10-26 18:00:16
남성,"30대, 40대",음료,2,두유,2025-10-26 18:00:16
남성,"30대, 40대",음료,3,생수,2025-10-26 18:00:16
남성,"30대, 40대",음료,4,맥심모카골드,2025-10-26 18:00:16
남성,"30대, 40대",음료,5,쌍화차,2025-10-26 18:00:16
남성,"30대, 40대",음료,6,커피믹스,2025-10-26 18:00:16
남성,"30대, 40대",음료,7,생강청,2025-10-26 18:00:16
남성,"30대, 40대",음료,8,멸균우유,2025-10-26 18:00:16
남성,"30대, 40대",음료,9,그릭요거트,2025-10-26 18:00:16
남성,"30대, 40대",음료,10,탄산수,2025-10-26 18:00:16
남성,"30대, 40대",과자/베이커리,1,무화과호두파이,2025-10-26 18:00:16
남성,"30대, 40대",과자/베이커리,2,다크초콜릿,2025-10-26 18:00:16
남성,"30대, 40대",과자/베이커리,3,빼빼로,2025-10-26 18:00:16
남성,"30대, 40대",과자/베이커리,4,단백질바,2025-10-26 18:00:16
남성,"30대, 40대",과자/베이커리,5,칸쵸,2025-10-26 18:00:16
남성,"30대, 40대",과자/베이커리,6,무화과호두건강파이,2025-10-26 18:00:16
남성,"30대, 40대",과자/베이커리,7,약과,2025-10-26 18:00:16
남성,"30대, 40대",과자/베이커리,8,한과,2025-10-26 18:00:16
남성,"30대, 40대",과자/베이커리,9,화과자,2025-10-26 18:00:16
남성,"30대, 40대",과자/베이커리,10,에너지바,2025-10-26 18:00:16
남성,"10대, 20대, 30대",농산물,1,쌀20kg,2025-10-26 18:00:33
남성,"10대, 20대, 30대",농산물,2,사과,2025-10-26 18:00:33
남성,"10대, 20대, 30대",농산물,3,쌀10kg,2025-10-26 18:00:33
남성,"10대, 20대, 30대",농산물,4,고구마,2025-10-26 18:00:33
남성,"10대, 20대, 30대",농산물,5,생강,2025-10-26 18:00:33
남성,"10대, 20대, 30대",농산물,6,감홍사과,2025-10-26 18:00:33
남성,"10대, 20대, 30대",농산물,7,단감,2025-10-26 18:00:33
남성,"10대, 20대, 30대",농산물,8,밤,2025-10-26 18:00:33
남성,"10대, 20대, 30대",농산물,9,능이버섯,2025-10-26 18:00:33
남성,"10대, 20대, 30대",농산물,10,공주밤,2025-10-26 18:00:33
남성,"10대, 20대, 30대",음료,1,생수,2025-10-26 18:00:33
남성,"10대, 20대, 30대",음료,2,두유,2025-10-26 18:00:33
남성,"10대, 20대, 30대",음료,3,레몬즙,2025-10-26 18:00:33
남성,"10대, 20대, 30대",음료,4,커피믹스,2025-10-26 18:00:33
남성,"10대, 20대, 30대",음료,5,맥심모카골드,2025-10-26 18:00:33
남성,"10대, 20대, 30대",음료,6,그릭요거트,2025-10-26 18:00:33
남성,"10대, 20대, 30대",음료,7,카누,2025-10-26 18:00:33
남성,"10대, 20대, 30대",음료,8,멸균우유,2025-10-26 18:00:33
남성,"10대, 20대, 30대",음료,9,탄산수,2025-10-26 18:00:33
남성,"10대, 20대, 30대",음료,10,믹스커피,2025-10-26 18:00:33
남성,"10대, 20대, 30대",과자/베이커리,1,무화과호두파이,2025-10-26 18:00:33
남성,"10대, 20대, 30대",과자/베이커리,2,무화과호두건강파이,2025-10-26 18:00:33
남성,"10대, 20대, 30대",과자/베이커리,3,다크초콜릿,2025-10-26 18:00:33
남성,"10대, 20대, 30대",과자/베이커리,4,한과,2025-10-26 18:00:33
남성,"10대, 20대, 30대",과자/베이커리,5,약과,2025-10-26 18:00:33
남성,"10대, 20대, 30대",과자/베이커리,6,이대명과,2025-10-26 18:00:33
남성,"10대, 20대, 30대",과자/베이커리,7,빼빼로,2025-10-26 18:00:33
남성,"10대, 20대, 30대",과자/베이커리,8,두바이쫀득쿠키,2025-10-26 18:00:33
남성,"10대, 20대, 30대",과자/베이커리,9,오란다,2025-10-26 18:00:33
남성,"10대, 20대, 30대",과자/베이커리,10,화과자,2025-10-26 18:00:33
여성,10대,농산물,1,쌀20kg,2025-10-26 18:00:49
여성,10대,농산물,2,사과,2025-10-26 18:00:49
여성,10대,농산물,3,쌀10kg,2025-10-26 18:00:49
여성,10대,농산물,4,고구마,2025-10-26 18:00:49
여성,10대,농산물,5,생강,2025-10-26 18:00:49
여성,10대,농산물,6,감홍사과,2025-10-26 18:00:49
여성,10대,농산물,7,단감,2025-10-26 18:00:49
여성,10대,농산물,8,밤,2025-10-26 18:00:49
여성,10대,농산물,9,공주밤,2025-10-26 18:00:49
여성,10대,농산물,10,토마토,2025-10-26 18:00:49
여성,10대,음료,1,레몬즙,2025-10-26 18:00:49
여성,10대,음료,2,커피믹스,2025-10-26 18:00:49
여성,10대,음료,3,두유,2025-10-26 18:00:49
여성,10대,음료,4,맥심모카골드,2025-10-26 18:00:49
여성,10대,음료,5,생강청,2025-10-26 18:00:49
여성,10대,음료,6,쌍화차,2025-10-26 18:00:49
여성,10대,음료,7,생수,2025-10-26 18:00:49
여성,10대,음료,8,믹스커피,2025-10-26 18:00:49
여성,10대,음료,9,그릭요거트,2025-10-26 18:00:49
여성,10대,음료,10,cca주스,2025-10-26 18:00:49
여성,10대,과자/베이커리,1,무화과호두파이,2025-10-26 18:00:49
여성,10대,과자/베이커리,2,무화과호두건강파이,2025-10-26 18:00:49
여성,10대,과자/베이커리,3,한과,2025-10-26 18:00:49
여성,10대,과자/베이커리,4,이대명과,2025-10-26 18:00:49
여성,10대,과자/베이커리,5,다크초콜릿,2025-10-26 18:00:49
여성,10대,과자/베이커리,6,약과,2025-10-26 18:00:49
여성,10대,과자/베이커리,7,오란다,2025-10-26 18:00:49
여성,10대,과자/베이커리,8,명가꽈배기,2025-10-26 18:00:49
여성,10대,과자/베이커리,9,수능선물,2025-10-26 18:00:49
여성,10대,과자/베이커리,10,도라지정과,2025-10-26 18:00:49
여성,20대,농산물,1,쌀20kg,2025-10-26 18:01:06
여성,20대,농산물,2,사과,2025-10-26 18:01:06
여성,20대,농산물,3,쌀10kg,2025-10-26 18:01:06
여성,20대,농산물,4,고구마,2025-10-26 18:01:06
여성,20대,농산물,5,생강,2025-10-26 18:01:06
여성,20대,농산물,6,감홍사과,2025-10-26 18:01:06
여성,20대,농산물,7,밤,2025-10-26 18:01:06
여성,20대,농산물,8,단감,2025-10-26 18:01:06
여성,20대,농산물,9,귤,2025-10-26 18:01:06
여성,20대,농산물,10,토마토,2025-10-26 18:01:06
여성,20대,음료,1,레몬즙,2025-10-26 18:01:06
여성,20대,음료,2,맥심모카골드,2025-10-26 18:01:06
여성,20대,음료,3,생강청,2025-10-26 18:01:06
여성,20대,음료,4,두유,2025-10-26 18:01:06
여성,20대,음료,5,커피믹스,2025-10-26 18:01:06
여성,20대,음료,6,쌍화차,2025-10-26 18:01:06
여성,20대,음료,7,cca주스,2025-10-26 18:01:06
여성,20대,음료,8,생수,2025-10-26 18:01:06
여성,20대,음료,9,그릭요거트,2025-10-26 18:01:06
여성,20대,음료,10,보이차,2025-10-26 18:01:06
여성,20대,과자/베이커리,1,무화과호두파이,2025-10-26 18:01:06
여성,20대,과자/베이커리,2,두바이쫀득쿠키,2025-10-26 18:01:06
여성,20대,과자/베이커리,3,무화과호두건강파이,2025-10-26 18:01:06
여성,20대,과자/베이커리,4,화과자,2025-10-26 18:01:06
여성,20대,과자/베이커리,5,두바이초콜릿,2025-10-26 18:01:06
여성,20대,과자/베이커리,6,다크초콜릿,2025-10-26 18:01:06
여성,20대,과자/베이커리,7,약과,2025-10-26 18:01:06
여성,20대,과자/베이커리,8,한과,2025-10-26 18:01:06
여성,20대,과자/베이커리,9,빼빼로,2025-10-26 18:01:06
여성,20대,과자/베이커리,10,쫀득빵,2025-10-26 18:01:06
여성,30대,농산물,1,쌀20kg,2025-10-26 18:01:22
여성,30대,농산물,2,사과,2025-10-26 18:01:22
여성,30대,농산물,3,쌀10kg,2025-10-26 18:01:22
여성,30대,농산물,4,고구마,2025-10-26 18:01:22
여성,30대,농산물,5,무화과,2025-10-26 18:01:22
여성,30대,농산물,6,감홍사과,2025-10-26 18:01:22
여성,30대,농산물,7,생강,2025-10-26 18:01:22
여성,30대,농산물,8,곶감,2025-10-26 18:01:22
여성,30대,농산물,9,토마토,2025-10-26 18:01:22
여성,30대,농산물,10,밤,2025-10-26 18:01:22
여성,30대,음료,1,레몬즙,2025-10-26 18:01:22
여성,30대,음료,2,두유,2025-10-26 18:01:22
여성,30대,음료,3,커피믹스,2025-10-26 18:01:22
여성,30대,음료,4,맥심모카골드,2025-10-26 18:01:22
여성,30대,음료,5,생수,2025-10-26 18:01:22
여성,30대,음료,6,생강청,2025-10-26 18:01:22
여성,30대,음료,7,쌍화차,2025-10-26 18:01:22
여성,30대,음료,8,그릭요거트,2025-10-26 18:01:22
여성,30대,음료,9,믹스커피,2025-10-26 18:01:22
여성,30대,음료,10,카누,2025-10-26 18:01:22
여성,30대,과자/베이커리,1,두바이쫀득쿠키,2025-10-26 18:01:22
여성,30대,과자/베이커리,2,화과자,2025-10-26 18:01:22
여성,30대,과자/베이커리,3,두바이초콜릿,2025-10-26 18:01:22
여성,30대,과자/베이커리,4,도라지정과,2025-10-26 18:01:22
여성,30대,과자/베이커리,5,약과,2025-10-26 18:01:22
여성,30대,과자/베이커리,6,쫀득빵,2025-10-26 18:01:22
여성,30대,과자/베이커리,7,한과,2025-10-26 18:01:22
